Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21492-9416,G,Braden,Braden Holtby,Holtby,23,4,9300,TOR@WAS,WAS,TOR,,
21492-8718,W,Alex,Alex Ovechkin,Ovechkin,29.44999949,6,9200,TOR@WAS,WAS,TOR,,
21492-64102,C,Connor,Connor McDavid,McDavid,20.60000038,4,9200,CAR@EDM,EDM,CAR,,
21492-12163,G,Sergei,Sergei Bobrovsky,Bobrovsky,32,4,9200,CLS@WPG,CLS,WPG,,
21492-8452,G,Carey,Carey Price,Price,8.959999847,5,9100,MON@SJ,MON,SJ,,
21492-8594,C,Sidney,Sidney Crosby,Crosby,18.59999975,6,9000,PIT@NYR,PIT,NYR,,
21492-8883,G,Ben,Ben Bishop,Bishop,18.20000076,4,9000,ARI@DAL,DAL,ARI,,
21492-42869,G,Matt,Matt Murray,Murray,18.88000031,5,8800,PIT@NYR,PIT,NYR,,
21492-9278,G,Martin,Martin Jones,Jones,10.40000025,3,8700,MON@SJ,SJ,MON,,
21492-11301,G,Cam,Cam Talbot,Talbot,10.60000038,4,8600,CAR@EDM,EDM,CAR,,
21492-12417,C,Tyler,Tyler Seguin,Seguin,20.93999939,5,8600,ARI@DAL,DAL,ARI,,
21492-43214,W,Nikita,Nikita Kucherov,Kucherov,22.86000061,5,8600,TB@DET,TB,DET,,
21492-54565,G,Andrei,Andrei Vasilevskiy,Vasilevskiy,22.88000031,5,8600,TB@DET,TB,DET,,
21492-23072,G,Frederik,Frederik Andersen,Andersen,16.63999939,5,8600,TOR@WAS,TOR,WAS,,
21492-8655,C,Steven,Steven Stamkos,Stamkos,20.08000031,5,8400,TB@DET,TB,DET,,
21492-8532,G,Henrik,Henrik Lundqvist,Lundqvist,14.88000031,5,8300,PIT@NYR,NYR,PIT,,
21492-8612,G,Marc-Andre,Marc-Andre Fleury,Fleury,23.79999924,4,8200,BUF@VGK,VGK,BUF,IR,Concussion
21492-8712,G,Roberto,Roberto Luongo,Luongo,16.79999924,2,8200,FLA@PHI,FLA,PHI,,
21492-8292,G,Craig,Craig Anderson,Anderson,21.79999924,4,8100,VAN@OTT,OTT,VAN,,
21492-70899,C,Auston,Auston Matthews,Matthews,23.71999969,5,8100,TOR@WAS,TOR,WAS,,
21492-8472,G,Pekka,Pekka Rinne,Rinne,18.20000076,4,8100,COL@NSH,NSH,COL,,
21492-8353,G,Jimmy,Jimmy Howard,Howard,33.86666616,3,8000,TB@DET,DET,TB,,
21492-8595,C,Evgeni,Evgeni Malkin,Malkin,11.23333359,6,8000,PIT@NYR,PIT,NYR,,
21492-8319,W,James,James Neal,Neal,24.52499962,4,7900,BUF@VGK,VGK,BUF,,
21492-39253,W,Filip,Filip Forsberg,Forsberg,21.46000061,5,7900,COL@NSH,NSH,COL,,
21492-8732,G,Semyon,Semyon Varlamov,Varlamov,27.79999924,4,7900,COL@NSH,COL,NSH,,
21492-8986,W,Jamie,Jamie Benn,Benn,14.7,5,7900,ARI@DAL,DAL,ARI,,
21492-12697,G,Philipp,Philipp Grubauer,Grubauer,2,2,7800,TOR@WAS,WAS,TOR,,
21492-58909,G,Connor,Connor Hellebuyck,Hellebuyck,22.79999924,4,7800,CLS@WPG,WPG,CLS,,
21492-42709,G,Scott,Scott Darling,Darling,11.19999949,3,7800,CAR@EDM,CAR,EDM,,
21492-12283,G,Jacob,Jacob Markstrom,Markstrom,13.19999981,4,7800,VAN@OTT,VAN,OTT,,
21492-58904,G,Aaron,Aaron Dell,Dell,7.599999905,2,7700,MON@SJ,SJ,MON,,
21492-64100,C,Jack,Jack Eichel,Eichel,17.36000061,5,7700,BUF@VGK,BUF,VGK,,
21492-54065,G,Joonas,Joonas Korpisalo,Korpisalo,-8.E-01,1,7700,CLS@WPG,CLS,WPG,,
21492-70900,W,Patrik,Patrik Laine,Laine,13.11999969,5,7600,CLS@WPG,WPG,CLS,,
21492-8944,G,Chad,Chad Johnson,Johnson,-1.600000024,2,7600,BUF@VGK,BUF,VGK,,
21492-8172,G,Kari,Kari Lehtonen,Lehtonen,-1.600000024,2,7600,ARI@DAL,DAL,ARI,,
21492-62493,W,Artemi,Artemi Panarin,Panarin,15.61999969,5,7500,CLS@WPG,CLS,WPG,,
21492-8233,G,Curtis,Curtis McElhinney,McElhinney,16.76190476,21,7500,TOR@WAS,TOR,WAS,,
21492-9288,G,Antti,Antti Niemi,Niemi,-2.799999952,2,7500,PIT@NYR,PIT,NYR,,
21492-9302,G,Michal,Michal Neuvirth,Neuvirth,12,1,7500,FLA@PHI,PHI,FLA,,
21492-8293,G,Peter,Peter Budaj,Budaj,16.18666687,60,7500,TB@DET,TB,DET,,
21492-8593,G,Al,Al Montoya,Montoya,-2.400000095,1,7500,MON@SJ,MON,SJ,,
21492-8776,G,Ondrej,Ondrej Pavelec,Pavelec,2.799999952,2,7500,PIT@NYR,NYR,PIT,,
21492-9052,G,James,James Reimer,Reimer,12,2,7500,FLA@PHI,FLA,PHI,,
21492-66411,G,Juuse,Juuse Saros,Saros,8,1,7500,COL@NSH,NSH,COL,,
21492-39844,G,Mike,Mike Condon,Condon,36,1,7500,VAN@OTT,OTT,VAN,,
21492-15271,G,Laurent,Laurent Brossoit,Brossoit,6,2,7500,CAR@EDM,EDM,CAR,,
21492-15321,C,Mark,Mark Scheifele,Scheifele,15.4,5,7500,CLS@WPG,WPG,CLS,,
21492-12252,G,Anders,Anders Lindback,Lindback,0,0,7500,COL@NSH,NSH,COL,,
21492-15400,G,Petr,Petr Mrazek,Mrazek,15.19999981,2,7400,TB@DET,DET,TB,,
21492-40050,G,Antti,Antti Raanta,Raanta,6.933333079,3,7400,ARI@DAL,ARI,DAL,DTD,Lower body
21492-8312,G,Steve,Steve Mason,Mason,-4.E-01,2,7400,CLS@WPG,WPG,CLS,,
21492-8553,G,Brian,Brian Elliott,Elliott,15.80000019,4,7400,FLA@PHI,PHI,FLA,,
21492-8682,W,Phil,Phil Kessel,Kessel,12.83333333,6,7400,PIT@NYR,PIT,NYR,,
21492-8780,G,Jonathan,Jonathan Bernier,Bernier,16.79999924,2,7400,COL@NSH,COL,NSH,,
21492-8864,G,Robin,Robin Lehner,Lehner,7.680000305,5,7400,BUF@VGK,BUF,VGK,,
21492-8252,G,Cam,Cam Ward,Ward,15.06885266,61,7300,CAR@EDM,CAR,EDM,,
21492-8441,W,Max,Max Pacioretty,Pacioretty,9.119999695,5,7300,MON@SJ,MON,SJ,,
21492-8615,W,Joe,Joe Pavelski,Pavelski,8.399999619,4,7300,MON@SJ,SJ,MON,,
21492-58331,W,Leon,Leon Draisaitl,Draisaitl,16.26666641,3,7300,CAR@EDM,EDM,CAR,DTD,Concussion
21492-43131,G,Malcolm,Malcolm Subban,Subban,-1.600000024,1,7200,BUF@VGK,VGK,BUF,,
21492-14468,G,Anders,Anders Nilsson,Nilsson,19.10769184,26,7200,VAN@OTT,VAN,OTT,,
21492-14483,G,Louis,Louis Domingue,Domingue,4,4,7200,ARI@DAL,ARI,DAL,,
21492-8426,D,Brent,Brent Burns,Burns,13.32499981,4,7200,MON@SJ,SJ,MON,,
21492-52475,C,Evgeny,Evgeny Kuznetsov,Kuznetsov,17.31666692,6,7200,TOR@WAS,WAS,TOR,,
21492-42853,G,Chris,Chris Driedger,Driedger,-7.199999809,1,7200,VAN@OTT,OTT,VAN,,
21492-8303,W,Jakub,Jakub Voracek,Voracek,19.38000031,5,7100,FLA@PHI,PHI,FLA,,
21492-8608,D,Kris,Kris Letang,Letang,14.69999949,6,7100,PIT@NYR,PIT,NYR,,
21492-8551,D,Erik,Erik Karlsson,Karlsson,17.19350681,77,7000,VAN@OTT,OTT,VAN,O,Foot
21492-8182,W,Blake,Blake Wheeler,Wheeler,13.63999939,5,6900,CLS@WPG,WPG,CLS,,
21492-8335,C,Henrik,Henrik Zetterberg,Zetterberg,18.18000031,5,6800,TB@DET,DET,TB,,
21492-14565,C,Mika,Mika Zibanejad,Zibanejad,17,6,6800,PIT@NYR,NYR,PIT,,
21492-8714,C,Nicklas,Nicklas Backstrom,Backstrom,19.56666692,6,6800,TOR@WAS,WAS,TOR,,
21492-70571,W,Jake,Jake Guentzel,Guentzel,12.69999949,6,6800,PIT@NYR,PIT,NYR,,
21492-9259,W,Mike,Mike Hoffman,Hoffman,17,5,6700,VAN@OTT,OTT,VAN,,
21492-8556,W,Claude,Claude Giroux,Giroux,17.53999939,5,6700,FLA@PHI,PHI,FLA,,
21492-14056,W,Cam,Cam Atkinson,Atkinson,10.24000015,5,6700,CLS@WPG,CLS,WPG,,
21492-12592,C,Ryan,Ryan Johansen,Johansen,9.159999847,5,6600,COL@NSH,NSH,COL,,
21492-59276,W,William,William Nylander,Nylander,14.11999969,5,6600,TOR@WAS,TOR,WAS,,
21492-41393,C,Aleksander,Aleksander Barkov,Barkov,10.80000019,4,6500,FLA@PHI,FLA,PHI,,
21492-58907,W,Nikolaj,Nikolaj Ehlers,Ehlers,22.01999969,5,6500,CLS@WPG,WPG,CLS,,
21492-8797,W,James,James van Riemsdyk,van Riemsdyk,20.56000061,5,6500,TOR@WAS,TOR,WAS,,
21492-9107,D,P.K.,P.K. Subban,Subban,18.16000061,5,6500,COL@NSH,NSH,COL,,
21492-21546,W,Alexander,Alexander Radulov,Radulov,8.1,5,6400,ARI@DAL,DAL,ARI,,
21492-8404,W,Wayne,Wayne Simmonds,Simmonds,20.3,5,6400,FLA@PHI,PHI,FLA,,
21492-8669,D,Victor,Victor Hedman,Hedman,10.5,5,6400,TB@DET,TB,DET,,
21492-15217,W,Jonathan,Jonathan Huberdeau,Huberdeau,19.25,4,6400,FLA@PHI,FLA,PHI,,
21492-9269,C,Logan,Logan Couture,Couture,8.725000381,4,6300,MON@SJ,SJ,MON,,
